Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,Steve Sparks,DET,189.0,868,1.4044,0.2032,0.4654,0.3314,0.1244,0.1022,0.0696,0.2500,0.4660,0.2808,0.2533,0.1360,0.6324,0.2315,499
2002,Jeff Weaver,2 Tms,199.2,840,1.2566,0.2006,0.4451,0.3542,0.1327,0.0708,0.0669,0.1818,0.4114,0.3251,0.2635,0.1636,0.6281,0.2083,503
2002,Josh Beckett,FLA,107.2,454,0.8413,0.1972,0.3668,0.4360,0.1587,0.1032,0.0472,0.1429,0.3919,0.2905,0.3176,0.1520,0.5743,0.2736,510
2002,A.J. Burnett,FLA,204.1,844,1.1719,0.2072,0.4278,0.3650,0.1406,0.0625,0.0622,0.1875,0.3985,0.3063,0.2952,0.1275,0.6654,0.2070,512
2002,Ryan Dempster,2 Tms,209.0,915,1.1696,0.2191,0.4210,0.3599,0.1130,0.1217,0.0409,0.2500,0.4279,0.2838,0.2883,0.1366,0.6085,0.2549,517
2002,Braden Looper,FLA,86.0,349,1.3810,0.2218,0.4514,0.3268,0.1310,0.0952,0.0431,0.1250,0.2151,0.4075,0.3774,0.1660,0.6226,0.2113,526
2002,Vladimir Nunez,FLA,97.2,404,0.9741,0.1993,0.3951,0.4056,0.1207,0.0690,0.0354,0.0000,0.5068,0.2755,0.2177,0.1701,0.5884,0.2415,532
2002,Brad Penny,FLA,129.1,574,1.3768,0.2019,0.4623,0.3358,0.1377,0.1304,0.0947,0.0526,0.3930,0.2814,0.3256,0.1791,0.5860,0.2349,535
2002,Julian Tavarez,FLA,153.2,714,2.0496,0.2022,0.5362,0.2616,0.1206,0.0638,0.0692,0.0526,0.4606,0.2652,0.2742,0.1634,0.6122,0.2244,541
2002,Michael Tejera,FLA,139.2,611,1.0904,0.2078,0.4132,0.3790,0.0904,0.1024,0.0331,0.2500,0.4600,0.2600,0.2800,0.1581,0.6080,0.2339,542
2002,Nelson Cruz,HOU,78.1,360,1.1146,0.2039,0.4196,0.3765,0.1146,0.1250,0.0561,0.1250,0.4981,0.2890,0.2129,0.1673,0.5665,0.2662,554
2002,Octavio Dotel,HOU,97.1,376,0.5122,0.1584,0.2851,0.5566,0.1463,0.0569,0.0317,0.1667,0.3436,0.3480,0.3084,0.2159,0.5947,0.1894,555
2002,Carlos Hernandez,HOU,111.0,495,1.4118,0.2568,0.4350,0.3082,0.1569,0.1078,0.0417,0.2857,0.3757,0.3077,0.3166,0.1513,0.6202,0.2285,560
2002,Wade Miller,HOU,164.2,688,1.3377,0.2208,0.4459,0.3333,0.1364,0.0909,0.0583,0.0000,0.4370,0.2563,0.3067,0.1765,0.5924,0.2311,568
2002,Dave Mlicki,HOU,86.0,391,1.1238,0.2284,0.4083,0.3633,0.1048,0.1048,0.0424,0.3750,0.5017,0.2626,0.2357,0.1588,0.5270,0.3142,569
2002,Roy Oswalt,HOU,233.0,956,1.5446,0.2224,0.4720,0.3056,0.1139,0.0842,0.0385,0.1500,0.3906,0.2658,0.3436,0.1603,0.6176,0.2221,571
2002,Brandon Puffer,HOU,69.0,310,2.2037,0.1840,0.5613,0.2547,0.1852,0.0556,0.0336,0.0000,0.4429,0.2877,0.2694,0.2420,0.6210,0.1370,572
2002,Tim Redding,HOU,73.1,325,1.1190,0.2018,0.4215,0.3767,0.1190,0.1190,0.0745,0.0000,0.3877,0.3436,0.2687,0.1674,0.5859,0.2467,573
2002,Shane Reynolds,HOU,74.0,322,1.6216,0.1983,0.4959,0.3058,0.1216,0.1757,0.0667,0.1667,0.4194,0.3710,0.2097,0.1573,0.6290,0.2137,574
2002,Ricky Stone,HOU,77.1,335,2.3273,0.1938,0.5639,0.2423,0.1091,0.1636,0.0625,0.2000,0.5063,0.2785,0.2152,0.1688,0.5781,0.2532,576
2002,Billy Wagner,HOU,75.0,289,1.1746,0.2081,0.4277,0.3642,0.0952,0.1111,0.0541,0.0000,0.3559,0.3051,0.3390,0.1477,0.6534,0.1989,578
2002,Jeremy Affeldt,KCR,77.2,353,1.2278,0.2697,0.4025,0.3278,0.1266,0.1013,0.0722,0.0000,0.4797,0.2764,0.2439,0.1545,0.6463,0.1992,583
2002,Miguel Asencio,KCR,123.1,557,1.3885,0.2207,0.4531,0.3263,0.1223,0.1223,0.0570,0.5000,0.5023,0.2269,0.2708,0.1435,0.6458,0.2106,586
2002,Paul Byrd,KCR,228.1,935,0.8084,0.1947,0.3600,0.4453,0.1257,0.1078,0.0778,0.2727,0.4376,0.2812,0.2812,0.1553,0.6132,0.2316,594
2002,Jason Grimsley,KCR,71.1,310,2.9556,0.1524,0.6333,0.2143,0.1111,0.0889,0.0902,0.0000,0.4601,0.2723,0.2676,0.1455,0.6761,0.1784,602
2002,Darrell May,KCR,131.1,579,0.7766,0.2085,0.3460,0.4455,0.1543,0.1489,0.0753,0.2727,0.4503,0.2633,0.2864,0.1528,0.5787,0.2685,613
2002,Dan Reichert,KCR,66.0,290,2.3725,0.2037,0.5602,0.2361,0.0588,0.1961,0.0496,0.0000,0.4978,0.3111,0.1911,0.1644,0.5822,0.2533,624
2002,Jeff Suppan,KCR,208.0,912,1.2610,0.2104,0.4404,0.3492,0.0763,0.1285,0.0573,0.2667,0.4602,0.2651,0.2747,0.1073,0.6300,0.2627,633
2002,Andy Ashby,LAD,181.2,771,1.4541,0.2104,0.4678,0.3217,0.1351,0.1081,0.0409,0.4375,0.4670,0.2657,0.2673,0.1709,0.6261,0.2030,637
2002,Kevin Brown,LAD,63.2,278,1.5536,0.2312,0.4677,0.3011,0.1250,0.1607,0.0345,0.5000,0.3802,0.2917,0.3281,0.1823,0.6198,0.1979,642
2002,Giovanni Carrara,LAD,90.2,387,0.9098,0.1825,0.3895,0.4281,0.1475,0.1148,0.0000,0.1250,0.4164,0.2765,0.3072,0.1843,0.5939,0.2218,643
2002,Omar Daal,LAD,161.1,668,1.0608,0.2309,0.3959,0.3732,0.1326,0.1105,0.0729,0.1000,0.4356,0.2574,0.3069,0.1564,0.6356,0.2079,646
2002,Eric Gagne,LAD,82.1,314,0.8205,0.1977,0.3616,0.4407,0.1667,0.0769,0.0625,0.4000,0.3516,0.2967,0.3516,0.1703,0.6154,0.2143,650
2002,Kaz Ishii,LAD,154.0,692,0.9819,0.2222,0.3853,0.3924,0.1205,0.1205,0.0798,0.2500,0.4214,0.3189,0.2597,0.1712,0.6233,0.2055,655
2002,Terry Mulholland,2 Tms,79.0,357,1.3913,0.2254,0.4507,0.3239,0.0978,0.1630,0.0625,0.5000,0.4247,0.2671,0.3082,0.1404,0.5993,0.2603,665
2002,Hideo Nomo,LAD,220.1,926,0.9331,0.2300,0.3717,0.3983,0.1464,0.1088,0.0538,0.2143,0.4188,0.2468,0.3344,0.2038,0.5780,0.2182,666
2002,Odalis Perez,LAD,222.1,869,1.3871,0.2043,0.4624,0.3333,0.1429,0.0968,0.0532,0.0952,0.4256,0.2932,0.2813,0.2060,0.6224,0.1716,668
2002,Paul Quantrill,LAD,76.2,330,2.0984,0.2317,0.5203,0.2480,0.0984,0.0164,0.0938,0.3333,0.2651,0.2610,0.4739,0.1855,0.6694,0.1452,669
2002,Jose Cabrera,MIL,103.1,474,0.7391,0.2113,0.3352,0.4535,0.1118,0.1429,0.0336,0.2308,0.4022,0.3207,0.2772,0.1223,0.6060,0.2717,679
2002,Mike DeJean,MIL,75.0,326,1.8448,0.2180,0.5071,0.2749,0.1379,0.1207,0.0561,0.2222,0.3500,0.2864,0.3636,0.1955,0.6409,0.1636,682
2002,Nelson Figueroa,MIL,93.0,412,0.9444,0.1993,0.3889,0.4118,0.0635,0.1429,0.0672,0.0714,0.4469,0.2969,0.2563,0.1344,0.6313,0.2344,683
2002,Ray King,MIL,65.0,273,1.9796,0.2193,0.5187,0.2620,0.1429,0.1020,0.0309,0.2222,0.3980,0.2806,0.3214,0.2296,0.5816,0.1888,693
2002,Ruben Quevedo,MIL,139.0,634,0.6199,0.2132,0.3011,0.4857,0.1267,0.1267,0.0219,0.4615,0.3654,0.3269,0.3077,0.1092,0.5910,0.2998,705
2002,Glendon Rusch,MIL,210.2,913,1.5707,0.2051,0.4857,0.3092,0.0829,0.1463,0.0807,0.1724,0.4162,0.2890,0.2948,0.1754,0.6246,0.2000,707
2002,Ben Sheets,MIL,216.2,934,1.5795,0.2436,0.4632,0.2932,0.1179,0.1077,0.0487,0.1667,0.3924,0.3104,0.2972,0.1449,0.6310,0.2240,710
2002,Luis Vizcaino,MIL,81.1,326,0.6465,0.2126,0.3092,0.4783,0.1717,0.0606,0.0781,0.0000,0.4579,0.2477,0.2944,0.1822,0.6355,0.1822,714
2002,Jamey Wright,2 Tms,129.1,585,1.7000,0.1960,0.5062,0.2978,0.0750,0.1417,0.0588,0.2632,0.4953,0.2512,0.2536,0.1422,0.6588,0.1991,715
2002,Tony Fiore,MIN,91.0,385,0.7541,0.2161,0.3370,0.4469,0.1967,0.0820,0.0435,0.2222,0.3972,0.2943,0.3085,0.1957,0.6370,0.1673,726
2002,Eddie Guardado,MIN,67.2,270,0.6591,0.1844,0.3240,0.4916,0.1477,0.1023,0.0345,0.0000,0.4144,0.2818,0.3039,0.1547,0.5967,0.2486,727
2002,LaTroy Hawkins,MIN,80.1,310,1.3816,0.2061,0.4605,0.3333,0.1053,0.0658,0.0571,0.2500,0.3534,0.2586,0.3879,0.1379,0.6293,0.2328,729
